Cellar or Fridge Name,Wine Name,Vintage,Wine Type,Grapes,Producer,Country,Region,Subregion,Size,Quantity,Average Market Price (USD),Total Market Price (USD),Average Purchase Price (USD),Total Purchase Price (USD),Drink Window,Tags
Inventory,Andrew Will Cuvée Lucia Sheridan Vineyard Sauvignon Blanc ,2023,white,Sauvignon Blanc,Andrew Will,United States,Washington,,750ml,1,,,,,2024-2027,
Inventory,Backstage Reserve Backstage Vineyard Napa Valley Cabernet Sauvignon,2019,red,Cabernet Sauvignon,Backstage Winery,United States,California,Napa Valley,750ml,1,,,,,2024-2035,
Inventory,Barrat-Masson Grain d'Argile Extra Brut Champagne,N.V.,sparkling,Chardonnay,Barrat-Masson,France,Champagne,,750ml,1,47.47,47.47,,,2026-2029,
Inventory,Boeckel Riesling Alsace Grand Cru 'Wiebelsberg',2021,white,Riesling,Boeckel,France,Alsace,Wiebelsberg,750ml,2,16.94,33.88,,,2024-2034,
Inventory,Brovia Barolo,2021,red,Nebbiolo,Fratelli Brovia,Italy,Piedmont,Barolo,750ml,1,77.59,77.59,,,2030-2050,Gift
Inventory,Bugno Martino Ciamballà Lambrusco Mantova,N.V.,sparkling,Lambrusco,Bugno Martino,Italy,Lombardia,Lambrusco Mantovano,750ml,1,,,,,2026-2029,
Inventory,Castello La Leccia Bruciagna Gran Selezione Chianti Classico,2020,red,Sangiovese,Castello La Leccia,Italy,Tuscany,Chianti Classico,750ml,1,52.41,52.41,,,2025-2035,
Inventory,Caymus Vineyards Napa Valley Cabernet Sauvignon,2022,red,Cabernet Sauvignon,Caymus Vineyards,United States,California,Napa Valley,750ml,1,68.32,68.32,,,2024-2037,Gift
Inventory,Château Durfort-Vivens Le Hameau Margaux,2020,red,"Merlot, Cabernet Sauvignon, Cabernet Franc, Red Blend",Château Durfort-Vivens,France,Bordeaux,Margaux,750ml,2,46.77,93.54,40.00,80.00,2027-2035,
Inventory,Chateau Faugères Saint-Émilion Grand Cru Classé,2019,red,"Merlot, Cabernet Sauvignon, Cabernet Franc",Château Faugères,France,Bordeaux,Saint-Emilion Grand Cru,750ml,1,45.32,45.32,43.00,43.00,2024-2034,
Inventory,Château Laville Sauternes,2018,dessert,Sauvignon Blanc,Château Laville,France,Bordeaux,Sauternes,375ml,1,28.71,28.71,,,2023-2038,
Inventory,Château Pavie Saint-Émilion Grand Cru,2010,red,"Merlot, Cabernet Sauvignon, Cabernet Franc, Bordeaux Red Blends",Chateau Pavie,France,Bordeaux,Saint-Emilion Grand Cru,750ml,1,463.56,463.56,,,2028-2085,Gift
Inventory,Château Pontet-Canet Pauillac Grand Cru Classé,2016,red,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Château Pontet-Canet,France,Bordeaux,Pauillac,750ml,1,144.95,144.95,165.00,165.00,2026-2045,
Inventory,Clos Cibonne Tibouren Côtes de Provence Cru Classé,N.V.,rose,"Tibouren, Grenache",Clos Cibonne,France,Provence,,750ml,1,,,,,2026-2029,
Inventory,Clos de la Roilette Cuvée Tardive Fleurie,2023,red,Gamay,Clos de la Roilette,France,Beaujolais,Fleurie,750ml,2,31.77,63.54,0.00,0.00,2025-2032,
Inventory,Clos de la Roilette La Griffe du Marquis Fleurie,2021,red,Gamay,Clos de la Roilette,France,Beaujolais,Fleurie,750ml,3,40.60,121.80,0.00,0.00,2023-2029,
Inventory,Damilano 1752 Cannubi Barolo Riserva,2016,red,Nebbiolo,Damilano,Italy,Piedmont,Barolo,750ml,1,318.60,318.60,,,2025-2050,Gift
Inventory,Damilano Lecinquevigne Barolo,2021,red,Nebbiolo,Damilano,Italy,Piedmont,Barolo,750ml,1,,,,,2028-2046,
Inventory,DAOU Reserve Paso Robles Willow Creek District Reserve Cabernet Sauvignon,2021,red,Cabernet Sauvignon,Daou,United States,California,Paso Robles Willow Creek District,750ml,1,,,,,2025-2035,Gift
Inventory,DC Flynt MW Kirkland Signature Series Stags Leap District Napa Valley Cabernet Sauvignon,2023,red,Cabernet Sauvignon,DC Flynt MW,United States,California,Stags Leap District,750ml,1,,,,,2025-2038,
Inventory,Domaine A. et P. de Villaine Bouzeron,2022,white,Aligoté,Domaine A. et P. de Villaine,France,Burgundy,Bouzeron,750ml,1,49.20,49.20,,,2024-2029,
